"name","description"
"Configurando o Vite, TS e Tailwind","Neste vídeo, o instrutor aborda a configuração do Vite, TypeScript e Tailwind, ensinando o processo passo a passo."
"Criando o HTML e CSS base","O professor Ícaro foca na criação da estrutura HTML e na estilização com Tailwind."
"Renderizando o cabeçalho do calendário","Aqui, o Ícaro ensina a renderizar o cabeçalho do calendário."
"Exibindo os dias da semana","Nesse vídeo vamos ver como exibir os dias da semana de forma dinâmica no nosso calendário."
"Mostrando os dias do mês","Nessa parte, o professor Ícaro cobre a exibição dos dias do mês em um calendário digital."
"Implementando a função de trocar o mês","Agora vamos ver o desenvolvimento de uma função para navegar entre os meses no calendário."
"Trocando a linguagem do calendário","Ícaro explica como alterar a linguagem do calendário, tornando-o acessível em múltiplos idiomas."
"Fazendo o deploy do calendário","Para concluir, vamos fazer o deploy na Vercel e submeter a resolução no Codante."
